pmcid,pmid,title,author_count,first_author,publication_date,journal,doi,abstract,keywords,section_count,total_words,nasa_related,mentions_iss,mentions_microgravity
PMC6141014,29569488,Structural and functional properties of bone are compromised in amyotrophic lateral sclerosis mice,5,Frank C Ko,2018 Mar 23,Amyotrophic lateral sclerosis & frontotemporal degeneration,10.1080/21678421.2018.1452946,"In addition to muscle weakness, amyotrophic lateral sclerosis (ALS) is associated with an increased incidence of skeletal fractures. The SOD1 G93A mouse model recapitulates many features of human ALS. These mice also exhibit decreased bone mass. However, the functional, or biomechanical, behavior of the skeleton in SOD1 G93A mice has not been investigated. To do so, we examined skeletal phenotypes in end-stage (16-week-old) SOD1 G93A female mice and healthy littermate female controls (N=9–10/group). Outcomes included trabecular and cortical bone microarchitecture by microcomputed tomography; stiffness and strength via three-point bending; resistance to crack growth by fracture toughness testing; and cortical bone matrix properties via cyclic reference point indentation. SOD1 G93A mice had similar bone size, but significantly lower trabecular bone mass (−54%), thinner trabeculae (−41%) and decreased cortical bone thickness (−17%) and cortical area (−18%) compared to control mice (all p<0.01). In line with these bone mass and microstructure deficits, SOD1 G93A mice had significantly lower femoral bending stiffness (−27%) and failure moment (−41%), along with decreased fracture toughness (−18%) (all p<0.001). This is the first study to demonstrate functional deficits in the skeleton of end-stage ALS mice, and imply multiple mechanisms for increased skeletal fragility and fracture risk in patients in ALS. Importantly, our results provide strong rationale for interventions to reduce fracture risk in ALS patients with advanced disease.",,14,2441,True,True,False
PMC10719374,38092777,Explainable machine learning identifies multi-omics signatures of muscle response to spaceflight in mice,11,Kevin Li,2023 Dec 13,NPJ Microgravity,10.1038/s41526-023-00337-5,"The adverse effects of microgravity exposure on mammalian physiology during spaceflight necessitate a deep understanding of the underlying mechanisms to develop effective countermeasures. One such concern is muscle atrophy, which is partly attributed to the dysregulation of calcium levels due to abnormalities in SERCA pump functioning. To identify potential biomarkers for this condition, multi-omics data and physiological data available on the NASA Open Science Data Repository (osdr.nasa.gov) were used, and machine learning methods were employed. Specifically, we used multi-omics (transcriptomic, proteomic, and DNA methylation) data and calcium reuptake data collected from C57BL/6 J mouse soleus and tibialis anterior tissues during several 30+ day-long missions on the international space station. The QLattice symbolic regression algorithm was introduced to generate highly explainable models that predict either experimental conditions or calcium reuptake levels based on multi-omics features. The list of candidate models established by QLattice was used to identify key features contributing to the predictive capability of these models, with Acyp1 and Rps7 proteins found to be the most predictive biomarkers related to the resilience of the tibialis anterior muscle in space. These findings could serve as targets for future interventions aiming to reduce the extent of muscle atrophy during space travel.",,27,5375,True,True,True
PMC10607959,37895487,"Correction: Tran et al. Delayed Maturation of Oligodendrocyte Progenitors by Microgravity: Implications for Multiple Sclerosis and Space Flight. Life 2022, 12, 797",7,Victoria Tran,2023 Oct 13,Life,10.3390/life13102051,,,2,135,True,False,True
PMC10285634,37360691,Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,16,Ryan W Baranowski,2023 Jun 8,iScience,10.1016/j.isci.2023.107047,,,31,6725,True,True,True
PMC3564669,23246792,Failure to Generate Bone Marrow Adipocytes Does Not Protect Mice from Ovariectomy-Induced Osteopenia,2,Urszula T Iwaniec,2012 Dec 12,Bone,10.1016/j.bone.2012.11.034,"A reciprocal association between bone marrow fat and bone mass has been reported in ovariectomized rodents, suggesting that bone marrow adipogenesis has a negative effect on bone growth and turnover balance. Mice with loss of function mutations in kit receptor ( kit W/W-v ) have no bone marrow adipocytes in tibia or lumbar vertebra. We therefore tested the hypothesis that marrow fat contributes to development of osteopenia by comparing the skeletal response to ovariectomy (ovx) in growing wild type (WT) and bone marrow adipocyte-deficient kit W/W-v mice. Mice were ovx at 4 weeks of age and sacrificed 4 or 10 weeks post-surgery. Body composition was measured at necropsy by dual-energy X-ray absorptiometry. Cortical (tibia) and cancellous (tibia and lumbar vertebra) bone architecture were evaluated by microcomputed tomography. Bone marrow adipocyte size and density, osteoblast- and osteoclast-lined bone perimeters, and bone formation were determined by histomorphometry. Ovx resulted in an increase in total body fat mass at 10 weeks post-ovx in both genotypes, but the response was attenuated in the in kit W/W-v mice. Adipocytes were present in bone marrow of tibia and lumbar vertebra in WT mice and bone marrow adiposity increased following ovx. In contrast, marrow adipocytes were not detected in either intact or ovx kit W/W-v mice. However, ovx in WT and kit W/W-v mice resulted in statistically indistinguishable changes in cortical and cancellous bone mass, cortical and cancellous bone formation rate, and cancellous osteoblast and osteoclast-lined bone perimeters. In conclusion, our findings do not support a causal role for increased bone marrow fat as a mediator of ovx-induced osteopenia in mice.",,18,4429,True,True,False
PMC4096993,24737619,Mimicking the host and its microenvironment in vitro for studying mucosal infections by Pseudomonas aeruginosa,3,Aurélie Crabbé,2014 May 23,Pathogens and disease,10.1111/2049-632X.12180,"Why is a healthy person protected from Pseudomonas aeruginosa infections, while individuals with cystic fibrosis or damaged epithelium are particularly susceptible to this opportunistic pathogen? In order to address this question, it is essential to thoroughly understand the dynamic interplay between the host microenvironment and P. aeruginosa . Therefore, using modeI systems that represent key aspects of human mucosal tissues in health and disease allows recreating in vivo host-pathogen interactions in a physiologically relevant manner. In this review, we discuss how factors of mucosal tissues, such as apical-basolateral polarity, junctional complexes, extracellular matrix proteins, mucus, multicellular complexity (including indigenous microbiota), and other physicochemical factors affect P. aeruginosa pathogenesis and are thus important to mimic in vitro . We highlight in vitro cell and tissue culture model systems of increasing complexity that have been used over the past 35 years to study the infectious disease process of P. aeruginosa , mainly focusing on lung models, and their respective advantages and limitations. Continued improvements of in vitro models based on our expanding knowledge of host microenvironmental factors that participate in P. aeruginosa pathogenesis will help advance fundamental understanding of pathogenic mechanisms and increase the translational potential of research findings from bench to the patient’s bedside.",,22,9161,True,True,True
PMC5052530,27708389,"Cytoskeletal Configuration Modulates Mechanically Induced Changes in Mesenchymal Stem Cell Osteogenesis, Morphology, and Stiffness",4,Suphannee Pongkitwitoon,2016 Oct 6,Scientific Reports,10.1038/srep34791,"Mesenchymal stem cells (MSC) responding to mechanical cues generated by physical activity is critical for skeletal development and remodeling. Here, we utilized low intensity vibrations (LIV) as a physiologically relevant mechanical signal and hypothesized that the confined cytoskeletal configuration imposed by 2D culture will enable human bone marrow MSCs (hBMSC) to respond more robustly when LIV is applied in-plane (horizontal-LIV) rather than out-of-plane (vertical-LIV). All LIV signals enhanced hBMSC proliferation, osteogenic differentiation, and upregulated genes associated with cytoskeletal structure. The cellular response was more pronounced at higher frequencies (100 Hz vs 30 Hz) and when applied in the horizontal plane. Horizontal but not vertical LIV realigned the cell cytoskeleton, culminating in increased cell stiffness. Our results show that applying very small oscillatory motions within the primary cell attachment plane, rather than perpendicular to it, amplifies the cell’s response to LIV, ostensibly facilitating a more effective transfer of intracellular forces. Transcriptional and structural changes in particular with horizontal LIV, together with the strong frequency dependency of the signal, emphasize the importance of intracellular cytoskeletal configuration in sensing and responding to high-frequency mechanical signals at low intensities.",,29,4639,True,True,False
PMC9547011,36207342,A multi-omics longitudinal study of the murine retinal response to chronic low-dose irradiation and simulated microgravity,7,Prachi Kothiyal,2022 Oct 7,Scientific Reports,10.1038/s41598-022-19360-9,"The space environment includes unique hazards like radiation and microgravity which can adversely affect biological systems. We assessed a multi-omics NASA GeneLab dataset where mice were hindlimb unloaded and/or gamma irradiated for 21 days followed by retinal analysis at 7 days, 1 month or 4 months post-exposure. We compared time-matched epigenomic and transcriptomic retinal profiles resulting in a total of 4178 differentially methylated loci or regions, and 457 differentially expressed genes. Highest correlation in methylation difference was seen across different conditions at the same time point. Nucleotide metabolism biological processes were enriched in all groups with activation at 1 month and suppression at 7 days and 4 months. Genes and processes related to Notch and Wnt signaling showed alterations 4 months post-exposure. A total of 23 genes showed significant changes in methylation and expression compared to unexposed controls, including genes involved in retinal function and inflammatory response. This multi-omics analysis interrogates the epigenomic and transcriptomic impacts of radiation and hindlimb unloading on the retina in isolation and in combination and highlights important molecular mechanisms at different post-exposure stages.",,26,6380,True,True,True
PMC8260663,34230490,Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation,11,Linda Rubinstein,2021 Jul 6,NPJ Microgravity,10.1038/s41526-021-00152-w,"Isolation on Earth can alter physiology and signaling of organs systems, including the central nervous system. Although not in complete solitude, astronauts operate in an isolated environment during spaceflight. In this study, we determined the effects of isolation and simulated microgravity solely or combined, on the inflammatory cytokine milieu of the hippocampus. Adult female wild-type mice underwent simulated microgravity by hindlimb unloading for 30 days in single or social (paired) housing. In hippocampus, simulated microgravity and isolation each regulate a discrete repertoire of cytokines associated with inflammation. Their combined effects are not additive. A model for mitochondrial reactive oxygen species (ROS) quenching via targeted overexpression of the human catalase gene to the mitochondria (MCAT mice), are protected from isolation- and/or simulated microgravity-induced changes in cytokine expression. These findings suggest a key role for mitochondrial ROS signaling in neuroinflammatory responses to spaceflight and prolonged bedrest, isolation, and confinement on Earth.",,30,4705,True,True,True
PMC6379395,30793021,Articular cartilage and sternal fibrocartilage respond differently to extended microgravity,4,Jamie Fitzgerald,2019 Feb 18,NPJ Microgravity,10.1038/s41526-019-0063-6,"The effects of spaceflight on cartilaginous structure are largely unknown. To address this deficiency, articular cartilage (AC) and sternal cartilage (SC) from mice exposed to 30 days of microgravity on the BION-M1 craft were investigated for pathological changes. The flight AC showed some evidence of degradation at the tissue level with loss of proteoglycan staining and a reduction in mRNA expression of mechano-responsive and structural cartilage matrix proteins compared to non-flight controls. These data suggest that degradative changes are underway in the AC extracellular matrix exposed to microgravity. In contrast, there was no evidence of cartilage breakdown in SC flight samples and the gene expression profile was distinct from that of AC with a reduction in metalloproteinase gene transcription. Since the two cartilages respond differently to microgravity we propose that each is tuned to the biomechanical environments in which they are normally maintained. That is, the differences between magnitude of normal terrestrial loading and the unloading of microgravity dictates the tissue response. Weight-bearing articular cartilage, but not minimally loaded sternal fibrocartilage, is negatively affected by the unloading of microgravity. We speculate that the maintenance of physiological loading on AC during spaceflight will minimize AC damage.",,18,2192,True,True,True
