pmcid,doi,publication_date,journal,volume,issue,pages,figure_count,table_count,reference_count,keyword_count,funding_sources
PMC6141014,10.1080/21678421.2018.1452946,2018 Mar 23,Amyotrophic lateral sclerosis & frontotemporal degeneration,19,5-6,457,2,3,0,0,
PMC10719374,10.1038/s41526-023-00337-5,2023 Dec 13,NPJ Microgravity,9,,90,6,1,0,0,
PMC10607959,10.3390/life13102051,2023 Oct 13,Life,13,10,2051,1,0,0,0,
PMC10285634,10.1016/j.isci.2023.107047,2023 Jun 8,iScience,26,7,107047,5,1,0,0,
PMC3564669,10.1016/j.bone.2012.11.034,2012 Dec 12,Bone,53,1,145,5,2,0,0,
PMC4096993,10.1111/2049-632X.12180,2014 May 23,Pathogens and disease,71,1,1,1,2,0,0,
PMC5052530,10.1038/srep34791,2016 Oct 6,Scientific Reports,6,,34791,5,4,0,0,
PMC9547011,10.1038/s41598-022-19360-9,2022 Oct 7,Scientific Reports,12,,16825,3,4,0,0,
PMC8260663,10.1038/s41526-021-00152-w,2021 Jul 6,NPJ Microgravity,7,,24,7,1,0,0,
PMC6379395,10.1038/s41526-019-0063-6,2019 Feb 18,NPJ Microgravity,5,,3,2,0,0,0,
PMC6597714,10.1038/s41598-019-45587-0,2019 Jun 27,Scientific Reports,9,,9336,8,1,0,0,
PMC10764921,10.1038/s41598-023-49680-3,2024 Jan 3,Scientific Reports,14,,410,9,2,0,0,ESA
PMC7937622,10.3389/fmicb.2021.601713,2021 Feb 22,Frontiers in Microbiology,12,,601713,9,5,0,0,
PMC3748764,10.1093/toxsci/kft138,2013 Jun 26,Toxicological Sciences,135,1,156,10,1,0,0,CBET-1150867; CMMI-1000808
PMC10774393,10.1038/s41526-023-00343-7,2024 Jan 8,NPJ Microgravity,10,,2,5,2,0,0,
PMC4405755,10.1113/jphysiol.2014.286740,2015 Feb 4,The Journal of Physiology,593,Pt 8,1981,9,0,0,0,
PMC5515520,10.1038/npjmgrav.2015.23,2016 Jan 21,NPJ Microgravity,2,,15023,5,0,0,0,
PMC11673879,10.3390/biology13121088,2024 Dec 23,Biology,13,12,1088,9,1,0,0,
PMC6371294,,2018 Dec 5,AMIA Annual Symposium Proceedings,2018,,232,4,2,0,0,
PMC3066201,10.1371/journal.pone.0017710,2011 Mar 29,PLoS ONE,6,3,e17710,5,2,0,0,
PMC7261848,10.3389/fpls.2020.00631,2020 May 25,Frontiers in Plant Science,11,,631,8,0,0,0,
PMC11892206,10.1186/s12864-025-11426-y,2025 Mar 10,BMC Genomics,26,,229,6,1,0,0,NASA
PMC9503880,10.3390/microorganisms10091714,2022 Aug 25,Microorganisms,10,9,1714,5,2,0,0,NASA
PMC3818365,10.1016/j.tcb.2013.06.005,2013 Jul 21,Trends in cell biology,23,11,10.1016/j.tcb.2013.06.005,3,2,0,0,
PMC8444978,10.1128/MRA.00751-21,2021 Sep 16,Microbiology Resource Announcements,10,37,e00751-21,0,1,0,0,
PMC9267413,10.3390/ijms23137465,2022 Jul 5,International Journal of Molecular Sciences,23,13,7465,1,7,0,0,CA18117
PMC9582271,10.3389/fendo.2022.959743,2022 Oct 6,Frontiers in Endocrinology,13,,959743,7,0,0,0,AR060913
PMC4430214,10.1371/journal.pone.0124380,2015 May 13,PLoS ONE,10,5,e0124380,8,4,0,0,
PMC7778922,10.1093/nar/gkaa887,2020 Oct 20,Nucleic Acids Research,49,D1,D1515,4,0,0,0,NASA
PMC9953055,10.3390/biom13020201,2023 Jan 19,Biomolecules,13,2,201,7,3,0,0,NASA; NIH
PMC6548323,10.1667/RR15164.1,2019 Mar 14,Radiation research,191,5,413,6,3,0,0,
PMC6981245,10.1016/j.archoralbio.2019.104621,2019 Nov 18,Archives of oral biology,110,,104621,5,1,0,0,
